UserID,UserName,StoreCode,RegionName,Zone,LoginDate,LoginTime,LogoutTime,TotalWorking
6,shlok shlok,SMB3024,East,West,June 13 2020,12:20:23,15:43:56,0h 5m
6,shlok shlok,SMB3024,East,West,June 14 2020,17:39:44,23:29:49,0h 0m
6,shlok shlok,SMB3024,East,West,June 15 2020,11:07:27,19:31:31,6h 44m
6,shlok shlok,SMB3024,East,West,June 16 2020,11:20:48,20:15:23,1h 14m
6,shlok shlok,SMB3024,East,West,June 17 2020,11:10:41,21:09:40,0h 24m
6,shlok shlok,SMB3024,East,West,June 18 2020,11:24:41,16:44:59,5h 20m
6,shlok shlok,SMB3024,East,West,June 19 2020,12:00:21,21:30:44,0h 29m
6,shlok shlok,SMB3024,East,West,June 22 2020,11:09:12,11:10:50,0h 1m
6,shlok shlok,SMB3024,East,West,June 23 2020,12:13:14,20:51:11,3h 7m
6,shlok shlok,SMB3024,East,West,June 24 2020,14:10:32,16:16:23,2h 4m
6,shlok shlok,SMB3024,East,West,June 25 2020,11:34:16,20:48:45,0h 0m
6,shlok shlok,SMB3024,East,West,June 26 2020,12:42:54,12:43:18,0h 0m
6,shlok shlok,SMB3024,East,West,June 29 2020,13:25:45,17:57:01,2h 31m
6,shlok shlok,SMB3024,East,West,June 30 2020,11:45:11,19:10:08,315h 4m
6,shlok shlok,SMB3024,East,West,July 01 2020,19:35:49,21:19:47,1h 57m
6,shlok shlok,SMB3024,East,West,July 02 2020,11:57:53,22:39:01,0h 4m
6,shlok shlok,SMB3024,East,West,July 03 2020,11:48:45,14:18:11,0h 27m
6,shlok shlok,SMB3024,East,West,July 04 2020,15:33:37,19:21:09,4h 40m
6,shlok shlok,SMB3024,East,West,July 06 2020,11:43:27,16:17:13,5h 15m
6,shlok shlok,SMB3024,East,West,July 07 2020,11:36:06,18:09:30,5h 4m
6,shlok shlok,SMB3024,East,West,July 08 2020,11:25:39,13:41:41,18h 49m
6,shlok shlok,SMB3024,East,West,July 09 2020,11:25:16,21:24:09,5h 15m
6,shlok shlok,SMB3024,East,West,July 10 2020,11:35:40,21:23:04,14h 29m
6,shlok shlok,SMB3024,East,West,July 12 2020,12:52:47,,
6,shlok shlok,SMB3024,East,West,July 13 2020,11:39:28,19:36:30,0h 47m
